"location_id","province","city","2019Q4","2020Q1","2020Q4","2021Q1"
"leshan_chn.26_1_cn","Sichuan","Leshan",0,0,1,1
"liangshan_chn.26_1_cn","Sichuan","Liangshan",0,0,2,0
"lianyungang_chn.15_1_cn","Jiangsu","Lianyungang",0,2,2,0
"liaocheng_chn.23_1_cn","Shandong","Liaocheng",3,11,0,0
"liaoyang_chn.18_1_cn","Liaoning","Liaoyang",0,7,0,7
"liaoyuan_chn.17_1_cn","Jilin","Liaoyuan",0,1,1,0
"linfen_chn.25_1_cn","Shanxi","Linfen",3,17,0,4
"linyi_chn.23_1_cn","Shandong","Linyi",1,3,4,3
"luohe_chn.12_1_cn","Henan","Luohe",2,11,6,5
"luoyang_chn.12_1_cn","Henan","Luoyang",3,4,2,3
"mudanjiang_chn.11_1_cn","Heilongjiang","Mudanjiang",0,0,0,2
"nanchong_chn.26_1_cn","Sichuan","Nanchong",0,0,0,1
"nantong_chn.15_1_cn","Jiangsu","Nantong",0,1,1,0
"nanyang_chn.12_1_cn","Henan","Nanyang",6,5,6,3
"neijiang_chn.26_1_cn","Sichuan","Neijiang",0,0,0,1
"panjin_chn.18_1_cn","Liaoning","Panjin",3,1,0,8
"pingdingshan_chn.12_1_cn","Henan","Pingdingshan",3,6,2,2
"pingdu_chn.23_1_cn","Shandong","Pingdu",1,2,6,0
"pingxiang_chn.16_1_cn","Jiangxi","Pingxiang",0,0,0,1
"puyang_chn.12_1_cn","Henan","Puyang",9,14,6,9
"qingdao_chn.23_1_cn","Shandong","Qingdao",0,1,0,0
"qinhuangdao_chn.10_1_cn","Hebei","Qinhuangdao",1,0,0,0
"qiqihar_chn.11_1_cn","Heilongjiang","Qiqihar",0,2,0,0
"rizhao_chn.23_1_cn","Shandong","Rizhao",0,3,2,1
"sanmenxia_chn.12_1_cn","Henan","Sanmenxia",6,8,1,3
"shanghai_chn.24_1_cn","Shanghai","Shanghai",0,0,1,0
"shangqiu_chn.12_1_cn","Henan","Shangqiu",3,10,5,7
"shaoyang_chn.14_1_cn","Hunan","Shaoyang",2,0,3,0
"shenyang_chn.18_1_cn","Liaoning","Shenyang",0,6,0,5
"shihezi_chn.28_1_cn","Xinjiang Uygur","Shihezi",9,32,15,25
"shijiazhuang_chn.10_1_cn","Hebei","Shijiazhuang",0,11,0,5
"shiyan_chn.13_1_cn","Hubei","Shiyan",0,0,0,1
"shizuishan_chn.20_1_cn","Ningxia Hui","Shizuishan",0,6,0,0
"shouguang_chn.23_1_cn","Shandong","Shouguang",2,2,0,2
"siping_chn.17_1_cn","Jilin","Siping",0,1,0,1
"songyuan_chn.17_1_cn","Jilin","Songyuan",3,1,0,0
"suihua_chn.11_1_cn","Heilongjiang","Suihua",5,13,0,0
"suizhou_chn.13_1_cn","Hubei","Suizhou",0,0,0,1
"suqian_chn.15_1_cn","Jiangsu","Suqian",0,2,2,3
"suzhou_chn.1_1_cn","Anhui","Suzhou",0,4,1,2
"suzhou_chn.15_1_cn","Jiangsu","Suzhou",0,1,1,0
"tai'an_chn.23_1_cn","Shandong","Tai'an",2,5,4,2
"taicang_chn.15_1_cn","Jiangsu","Taicang",0,0,1,0
"taiyuan_chn.25_1_cn","Shanxi","Taiyuan",0,10,0,0
"taizhou_chn.15_1_cn","Jiangsu","Taizhou",0,1,1,0
"tangshan_chn.10_1_cn","Hebei","Tangshan",0,6,0,1
"tianjin_chn.27_1_cn","Tianjin","Tianjin",4,10,0,1
"tieling_chn.18_1_cn","Liaoning","Tieling",2,6,0,4
"tongchuan_chn.22_1_cn","Shaanxi","Tongchuan",0,3,0,1
"tongren_chn.8_1_cn","Guizhou","Tongren",2,0,0,0
"urumqi_chn.28_1_cn","Xinjiang Uygur","Urumqi",9,17,16,16
"weifang_chn.23_1_cn","Shandong","Weifang",3,5,3,2
"weihai_chn.23_1_cn","Shandong","Weihai",0,1,0,0
"weinan_chn.22_1_cn","Shaanxi","Weinan",2,7,2,4
"wuhan_chn.13_1_cn","Hubei","Wuhan",0,0,2,1
"wuhu_chn.1_1_cn","Anhui","Wuhu",0,1,0,0
"wujiang_chn.15_1_cn","Jiangsu","Wujiang",0,1,1,0
"wujiaqu_chn.28_1_cn","Xinjiang Uygur","Wujiaqu",3,15,12,19
"wulanchabu_chn.19_1_cn","Nei Mongol","Wulanchabu",0,0,0,2
"wuxi_chn.15_1_cn","Jiangsu","Wuxi",0,1,0,0
"wuzhong_chn.20_1_cn","Ningxia Hui","Wuzhong",0,2,0,0
"xi'an_chn.22_1_cn","Shaanxi","Xi'an",9,13,2,3
"xiangtan_chn.14_1_cn","Hunan","Xiangtan",2,0,0,2
"xiangyang_chn.13_1_cn","Hubei","Xiangyang",6,2,4,5
"xianyang_chn.22_1_cn","Shaanxi","Xianyang",8,17,5,10
"xinganmeng_chn.19_1_cn","Nei Mongol","Xinganmeng",0,0,0,1
"xingtai_chn.10_1_cn","Hebei","Xingtai",3,9,1,4
"xinxiang_chn.12_1_cn","Henan","Xinxiang",3,5,0,0
"xinyang_chn.12_1_cn","Henan","Xinyang",0,1,0,4
"xinzhou_chn.25_1_cn","Shanxi","Xinzhou",0,12,0,2
"xishuangbanna_chn.30_1_cn","Yunnan","Xishuangbanna",0,2,0,0
"xuchang_chn.12_1_cn","Henan","Xuchang",5,9,7,8
"xuzhou_chn.15_1_cn","Jiangsu","Xuzhou",0,3,1,0
"yancheng_chn.15_1_cn","Jiangsu","Yancheng",0,2,1,0
"yangquan_chn.25_1_cn","Shanxi","Yangquan",0,1,0,2
"yangzhou_chn.15_1_cn","Jiangsu","Yangzhou",0,3,1,0
"yantai_chn.23_1_cn","Shandong","Yantai",2,1,1,0
"yibin_chn.26_1_cn","Sichuan","Yibin",0,0,2,2
"yichang_chn.13_1_cn","Hubei","Yichang",3,1,0,3
"yinchuan_chn.20_1_cn","Ningxia Hui","Yinchuan",0,3,0,0
"yingkou_chn.18_1_cn","Liaoning","Yingkou",2,8,0,3
"yiyang_chn.14_1_cn","Hunan","Yiyang",2,0,1,1
"yongzhou_chn.14_1_cn","Hunan","Yongzhou",0,0,1,0
"yuncheng_chn.25_1_cn","Shanxi","Yuncheng",9,14,0,1
"zaozhuang_chn.23_1_cn","Shandong","Zaozhuang",0,2,2,0
"zhangjiagang_chn.15_1_cn","Jiangsu","Zhangjiagang",0,2,1,0
"zhangqiu_chn.23_1_cn","Shandong","Zhangqiu",0,2,0,1
"zhaoyuan_chn.23_1_cn","Shandong","Zhaoyuan",0,0,7,1
"zhengzhou_chn.12_1_cn","Henan","Zhengzhou",7,7,4,5
"zhenjiang_chn.15_1_cn","Jiangsu","Zhenjiang",0,1,0,0
"zhoukou_chn.12_1_cn","Henan","Zhoukou",4,9,4,8
"zhumadian_chn.12_1_cn","Henan","Zhumadian",0,3,0,4
"zhuzhou_chn.14_1_cn","Hunan","Zhuzhou",2,0,1,3
"zibo_chn.23_1_cn","Shandong","Zibo",1,5,3,5
"zigong_chn.26_1_cn","Sichuan","Zigong",0,0,1,2
"ziyang_chn.26_1_cn","Sichuan","Ziyang",0,0,0,1
