"location_id","province","city","2018Q4","2019Q1","2019Q4","2020Q1","2020Q4","2021Q1","2021Q1_vs_2019Q1_str","2020Q4_vs_2019Q4_str","2021Q1_vs_2019Q1","2020Q4_vs_2019Q4"
"aba_chn.26_1_cn","Sichuan","Aba",16.0917605274854,16.4200643470693,18.9400083484469,15.0463976717943,19.9239665580694,18.7826747863125,"14.4%","5.2%",0.143885577382943,0.0519513081261755
"aksu_chn.28_1_cn","Xinjiang Uygur","Aksu",65.0151243741117,72.4358866298809,58.7280857266976,59.1847759597535,56.4443338507145,59.8343568776049,"-17.4%","-3.9%",-0.173968047311478,-0.0388868775088459
"ali_chn.29_1_cn","Xizang","Ali",10.0437649405364,9.85852374995553,6.25750741664629,4.67084703644037,8.19301378413228,9.13916368422143,"-7.3%","30.9%",-0.0729683352172628,0.309309480375067
"altay_chn.28_1_cn","Xinjiang Uygur","Altay",6.87409199548129,13.4164114386481,11.4158183294947,11.1131509680891,13.7519274051394,14.584280777349,"8.7%","20.5%",0.0870478178193514,0.204637898766216
"alxa_chn.19_1_cn","Nei Mongol","Alxa",29.9365982722054,34.9481522555474,23.8624375007655,30.8327406635596,26.4364797941992,26.8182307498805,"-23.3%","10.8%",-0.232628078480927,0.107870048621443
"ankang_chn.22_1_cn","Shaanxi","Ankang",42.2996645851184,65.9550834440442,38.4745106345281,42.1631586201981,40.3602729802402,46.5962717373481,"-29.4%","4.9%",-0.293515081716483,0.0490132899577354
"anqing_chn.1_1_cn","Anhui","Anqing",53.0875032581572,70.7415071859001,49.6786178763917,44.0439425641202,48.0386456621945,46.0082311188261,"-35%","-3.3%",-0.349628910253184,-0.0330116312470227
"anshan_chn.18_1_cn","Liaoning","Anshan",41.1748143953894,62.3541889617492,44.5295821192948,66.5611340103251,40.46507535979,61.4809554994593,"-1.4%","-9.1%",-0.0140044073514534,-0.0912765529354387
"anshun_chn.8_1_cn","Guizhou","Anshun",28.5623575889554,27.0437911678687,23.5926972071341,26.8619830268097,27.1550373544407,34.7901908228369,"28.6%","15.1%",0.286439116723097,0.150993339847103
"anyang_chn.12_1_cn","Henan","Anyang",93.4302516370548,118.542844780851,83.8814298507087,98.8745621890448,82.2538925002509,79.8939476824315,"-32.6%","-1.9%",-0.326033150038448,-0.0194028327050993
"baicheng_chn.17_1_cn","Jilin","Baicheng",30.4354263549083,42.1476189130951,29.2101122746286,39.4946697362702,22.827006236645,34.5724074986728,"-18%","-21.9%",-0.179730471371153,-0.218523844686753
"baise_chn.7_1_cn","Guangxi","Baise",32.8243655637771,36.2593979743852,31.6518818260209,35.6827540621632,28.5436927885951,45.9149737541042,"26.6%","-9.8%",0.266291673859009,-0.0981991862130168
"baishan_chn.17_1_cn","Jilin","Baishan",30.8234212145086,47.9868168348517,33.595470516729,40.8555863424885,30.6442960756795,39.0987541434009,"-18.5%","-8.8%",-0.185218842959295,-0.0878444146088054
"baiyin_chn.5_1_cn","Gansu","Baiyin",39.3785993050278,37.9630013593168,34.5866378695385,38.4109042909328,34.6839845482019,35.8626856061924,"-5.5%","0.3%",-0.0553253346131691,0.00281457477973457
"baoding_chn.10_1_cn","Hebei","Baoding",83.8396531317617,97.0580279775776,59.5227808967484,84.2446933188356,58.7416026603148,64.820324208477,"-33.2%","-1.3%",-0.33214876132192,-0.0131240211674362
"baoji_chn.22_1_cn","Shaanxi","Baoji",56.1215437407435,90.3360858346793,60.2405316991035,76.4467437797587,56.9273129969366,66.7064425916127,"-26.2%","-5.5%",-0.261574796214996,-0.0549998250134336
"baoshan_chn.30_1_cn","Yunnan","Baoshan",15.9434014760486,23.83348225588,19.8241787271818,28.8426533588637,15.8669925735088,39.0251354120919,"63.7%","-20%",0.637408037697221,-0.199614128188181
"baotou_chn.19_1_cn","Nei Mongol","Baotou",46.3140104498027,51.0237830195624,54.1645559025264,87.6027750070021,42.4019576910409,46.0419325855368,"-9.8%","-21.7%",-0.0976378100407718,-0.217164121730329
"bayan nur_chn.19_1_cn","Nei Mongol","Bayan Nur",37.6664671328006,40.8566338280298,41.4094514252564,64.4783255441341,33.8293678155221,39.6080097242998,"-3.1%","-18.3%",-0.0305611105649489,-0.183052017083982
"bazhong_chn.26_1_cn","Sichuan","Bazhong",36.8026585491334,49.3394751343664,30.4453132668547,40.1639774504946,29.4202714731959,42.0130194753218,"-14.8%","-3.4%",-0.148490749832512,-0.0336682951715526
"beihai_chn.7_1_cn","Guangxi","Beihai",31.6049132550006,34.7645789519088,40.3109091664194,29.5497203982923,37.1960803262015,43.444022521595,"25%","-7.7%",0.24966341694208,-0.0772701212805361
