date,aqi,pm25,pm10,so2,co,no2,o3
17/2/2017,41,24,41,8,0.6,32,80
18/2/2017,113,88,124,27,1.7,77,52
19/2/2017,128,94,139,23,1.5,59,83
20/2/2017,36,13,34,5,0.5,27,72
21/2/2017,82,62,74,15,1.3,59,31
22/2/2017,103,76,64,7,1.1,40,68
23/2/2017,41,19,30,7,0.6,36,78
24/2/2017,57,25,37,9,0.8,47,76
25/2/2017,43,11,22,6,0.5,32,86
26/2/2017,66,29,47,10,0.8,54,72
27/2/2017,97,67,96,17,1.5,80,54
28/2/2017,43,14,28,6,0.6,34,87
1/3/2017,47,8,37,3,0.4,13,94
2/3/2017,67,40,80,13,0.9,54,70
3/3/2017,111,82,138,23,1.5,68,60
4/3/2017,113,87,108,26,1.7,74,82
5/3/2017,42,12,30,4,0.4,19,84
6/3/2017,45,17,43,6,0.7,34,81
7/3/2017,40,7,23,3,0.4,15,80
8/3/2017,45,10,30,3,0.5,24,90
9/3/2017,46,13,35,4,0.5,39,83
10/3/2017,77,34,65,12,0.9,64,88
11/3/2017,65,44,80,15,0.9,48,89
12/3/2017,44,7,27,3,0.3,13,88
13/3/2017,43,11,28,5,0.5,32,87
14/3/2017,51,21,52,8,0.6,43,85
15/3/2017,86,65,96,22,1.2,69,77
16/3/2017,148,115,156,25,1.4,88,83
17/3/2017,160,125,162,19,1.1,71,81
18/3/2017,190,146,162,16,1.2,68,139
19/3/2017,273,222,217,33,2.1,81,150
20/3/2017,182,137,126,19,1.4,75,60
21/3/2017,113,87,123,7,0.8,48,98
22/3/2017,175,140,178,19,1.3,81,74
23/3/2017,160,121,90,6,1.7,60,52
24/3/2017,80,60,31,2,1,49,50
25/3/2017,48,34,28,3,0.8,36,82
26/3/2017,44,12,27,3,0.4,23,89
27/3/2017,43,17,34,3,0.4,37,87
28/3/2017,80,60,93,9,0.7,54,100
29/3/2017,148,118,141,11,0.9,65,111
30/3/2017,114,86,129,16,1.2,57,85
31/3/2017,47,20,42,4,0.5,34,86
1/10/2017,95,69,89,2,0.8,49,83
2/10/2017,44,13,43,3,0.6,35,36
3/10/2017,42,16,39,2,0.5,35,53
4/10/2017,55,30,62,4,0.6,40,70
5/10/2017,75,55,78,5,0.8,41,88
6/10/2017,90,67,88,5,0.8,50,91
7/10/2017,145,114,128,3,1.2,75,14
8/10/2017,164,123,102,2,1.3,69,7
9/10/2017,41,29,24,3,0.7,30,35
10/10/2017,25,6,7,3,0.4,20,41
11/10/2017,35,11,20,3,0.5,29,43
12/10/2017,50,22,37,2,0.5,40,40
13/10/2017,61,38,54,2,0.8,50,53
14/10/2017,55,15,33,2,0.7,43,20
15/10/2017,67,50,53,3,1.1,42,47
16/10/2017,55,41,54,3,1,42,58
17/10/2017,92,70,77,3,1.2,50,48
18/10/2017,90,69,44,2,1.2,47,27
19/10/2017,75,56,40,2,1.2,39,59
20/10/2017,128,98,79,2,1.5,48,59
21/10/2017,100,73,71,3,1.3,38,72
22/10/2017,56,39,48,5,1,45,20
23/10/2017,50,36,43,2,0.7,39,52
24/10/2017,92,70,72,3,1,47,65
25/10/2017,140,110,92,3,1.3,56,36
26/10/2017,202,153,123,3,1.6,69,25
27/10/2017,221,170,123,3,1.6,68,46
28/10/2017,62,43,55,2,0.7,27,55
29/10/2017,33,8,23,3,0.4,28,57
30/10/2017,58,19,44,3,0.6,47,46
31/10/2017,91,62,105,5,1,73,9
1/11/2017,98,65,100,3,1.1,79,31
2/11/2017,71,52,87,6,1,57,56
3/11/2017,37,8,28,2,0.4,31,62
4/11/2017,67,38,64,5,0.8,55,47
5/11/2017,130,101,120,6,1.3,71,37
6/11/2017,201,152,144,5,1.5,71,56
7/11/2017,111,81,99,3,1,44,66
8/11/2017,63,20,45,6,0.8,52,30
9/11/2017,78,53,94,6,1.4,65,22
10/11/2017,39,7,37,2,0.3,15,58
11/11/2017,46,18,38,4,0.5,37,36
12/11/2017,78,56,93,6,1,64,15
13/11/2017,60,26,71,3,0.6,31,61
14/11/2017,32,11,32,3,0.5,27,62
15/11/2017,46,16,38,3,0.5,38,60
16/11/2017,90,58,87,10,1.4,73,19
17/11/2017,55,22,58,4,0.7,31,64
18/11/2017,54,40,62,7,0.6,36,60
19/11/2017,117,89,118,9,1.4,73,17
20/11/2017,135,105,129,10,1.9,86,29
21/11/2017,158,119,158,12,2,86,37
22/11/2017,33,7,31,3,0.4,18,62
23/11/2017,30,7,29,3,0.4,21,52
24/11/2017,47,22,50,7,0.6,35,52
25/11/2017,76,39,74,7,1,59,25
26/11/2017,30,12,30,3,0.4,26,61
27/11/2017,93,70,96,10,1.4,72,13
28/11/2017,64,37,76,4,0.9,38,64
29/11/2017,43,14,36,4,0.5,36,43
30/11/2017,55,26,52,7,0.8,44,17
1/12/2017,87,73,106,11,1.2,71,0
2/12/2017,162,152,220,17,2,108,0
3/12/2017,254,48,77,6,3,39,0
4/12/2017,28,6,22,2,0.5,18,0
5/12/2017,77,25,51,6,1,49,0
6/12/2017,82,23,52,7,1,42,0
7/12/2017,29,9,28,5,0.3,21,0
8/12/2017,28,23,48,6,0.5,49,0
9/12/2017,77,34,63,8,1.4,64,0
10/12/2017,30,7,46,3,0.3,15,0
11/12/2017,39,6,21,3,0.5,17,0
