date,aqi,pm25,pm10,so2,co,no2,o3
2/12/2019,30,10,25,3,0.3,24,52
3/12/2019,48,15,43,3,0.5,38,62
4/12/2019,43,13,32,3,0.4,34,65
5/12/2019,48,21,38,4,0.7,38,56
6/12/2019,73,49,67,5,0.9,58,19
7/12/2019,78,52,68,4,0.9,62,29
8/12/2019,189,142,142,3,1.7,75,5
9/12/2019,233,183,183,2,2.1,87,9
10/12/2019,129,98,114,3,1.4,51,56
11/12/2019,29,6,15,2,0.3,22,58
12/12/2019,59,19,37,4,0.6,47,30
13/12/2019,50,21,47,5,0.7,40,58
14/12/2019,57,15,28,3,0.5,45,38
15/12/2019,85,49,75,10,1.3,68,11
16/12/2019,92,68,49,2,1.3,65,7
17/12/2019,28,10,18,2,0.3,14,56
18/12/2019,47,19,27,2,0.5,37,34
19/12/2019,30,11,23,3,0.4,24,53
20/12/2019,60,19,34,3,0.6,48,26
21/12/2019,65,38,51,4,0.8,52,18
22/12/2019,87,63,78,7,1.2,69,18
23/12/2019,67,48,57,5,1,42,46
24/12/2019,109,82,76,4,1.3,55,18
25/12/2019,79,58,57,4,1,39,51
26/12/2019,47,16,47,2,0.5,34,51
27/12/2019,75,39,88,4,0.9,60,16
28/12/2019,103,77,118,9,1.6,72,13
29/12/2019,118,89,110,6,1.4,55,55
30/12/2019,35,8,35,3,0.3,10,52
31/12/2019,48,21,36,5,0.5,38,31
1/1/2020,62,35,56,7,0.8,49,20
2/1/2020,80,51,80,7,1.2,64,16
3/1/2020,82,50,72,8,1.2,65,26
4/1/2020,74,43,66,7,1.1,59,44
5/1/2020,83,61,73,6,1.3,66,13
6/1/2020,75,55,32,3,1,47,30
7/1/2020,30,12,19,4,0.4,22,59
8/1/2020,40,17,25,3,0.5,32,64
9/1/2020,63,35,39,6,0.8,50,39
10/1/2020,43,26,33,6,0.6,34,63
11/1/2020,32,11,20,3,0.4,25,56
12/1/2020,42,19,26,7,0.5,33,50
13/1/2020,31,11,20,4,0.4,18,62
14/1/2020,39,17,25,4,0.4,31,53
15/1/2020,72,49,58,7,0.9,57,25
16/1/2020,60,41,49,7,0.9,48,54
17/1/2020,97,72,79,12,1.5,66,26
18/1/2020,207,157,154,4,2.1,63,27
19/1/2020,60,28,69,2,0.5,24,60
20/1/2020,31,10,27,2,0.3,18,62
21/1/2020,60,43,56,7,0.9,43,44
22/1/2020,89,66,70,8,1.1,52,42
23/1/2020,77,56,63,6,0.9,36,71
24/1/2020,102,76,77,6,0.7,21,73
25/1/2020,193,145,161,10,1,33,69
26/1/2020,202,152,147,11,1.7,38,75
27/1/2020,208,158,137,10,1.8,37,81
28/1/2020,221,171,147,13,2.1,40,109
29/1/2020,94,70,51,7,1,27,81
30/1/2020,64,46,48,5,0.8,27,81
31/1/2020,62,44,47,4,0.8,27,80
1/2/2020,36,9,16,2,0.3,10,72
2/2/2020,45,31,32,2,0.4,11,68
3/2/2020,34,18,28,2,0.4,14,67
4/2/2020,34,10,18,2,0.3,12,67
5/2/2020,38,26,33,3,0.6,18,48
6/2/2020,62,44,38,4,1,25,39
7/2/2020,97,72,52,4,1.1,35,50
8/2/2020,82,60,50,4,0.8,30,70
9/2/2020,160,122,109,4,1.4,43,60
10/2/2020,163,124,103,4,1.4,50,77
11/2/2020,232,182,141,8,2.3,56,97
12/2/2020,257,207,145,5,2.3,48,113
13/2/2020,247,197,142,3,2.1,47,57
14/2/2020,69,50,39,2,0.9,17,59
15/2/2020,35,6,11,2,0.2,5,69
16/2/2020,37,3,8,2,0.2,5,73
17/2/2020,36,7,14,2,0.3,13,72
18/2/2020,42,17,23,3,0.5,33,63
19/2/2020,79,58,51,10,1.2,38,68
20/2/2020,143,109,76,7,1.4,30,66
21/2/2020,100,75,95,3,0.8,21,75
22/2/2020,40,8,16,3,0.2,11,79
23/2/2020,58,41,51,5,0.6,38,58
24/2/2020,83,61,86,8,1,38,52
25/2/2020,70,51,75,10,0.9,26,68
26/2/2020,53,37,47,5,0.6,22,79
27/2/2020,40,28,32,4,0.5,24,56
28/2/2020,88,65,63,3,0.7,29,74
29/2/2020,114,86,57,2,1.2,32,26
1/3/2020,38,21,21,2,0.8,19,76
2/3/2020,36,25,27,3,0.5,28,66
3/3/2020,39,14,21,2,0.3,9,78
4/3/2020,38,11,16,2,0.2,10,76
5/3/2020,54,38,48,4,0.5,28,82
6/3/2020,113,85,79,4,0.8,40,67
7/3/2020,87,64,45,3,0.7,20,89
8/3/2020,128,97,61,3,1,29,44
9/3/2020,70,51,32,2,0.7,24,69
10/3/2020,39,10,30,2,0.3,15,77
11/3/2020,55,29,51,4,0.5,44,60
12/3/2020,41,18,37,3,0.4,22,81
13/3/2020,40,11,23,3,0.3,14,79
14/3/2020,43,8,37,2,0.3,12,86
15/3/2020,45,7,33,2,0.2,11,90
16/3/2020,61,26,71,3,0.4,23,77
17/3/2020,56,30,61,3,0.5,33,97
18/3/2020,89,36,127,4,0.4,34,85
19/3/2020,46,8,46,2,0.2,10,89
20/3/2020,60,29,70,4,0.4,37,77
21/3/2020,72,27,94,8,0.5,22,93
22/3/2020,62,30,74,4,0.4,26,113
23/3/2020,53,28,55,4,0.5,31,91
24/3/2020,70,51,68,12,0.9,38,98
25/3/2020,153,117,111,11,1,53,131
26/3/2020,39,8,24,3,0.2,9,77
27/3/2020,40,5,21,2,0.2,9,79
28/3/2020,39,10,28,2,0.2,17,77
29/3/2020,63,45,72,7,0.5,38,97
30/3/2020,92,68,87,7,0.7,37,103
31/3/2020,87,64,75,4,0.5,28,108
1/10/2020,60,43,47,2,0.6,28,59
2/10/2020,29,6,19,2,0.2,14,58
3/10/2020,45,20,45,5,0.4,26,69
4/10/2020,26,5,19,2,0.2,9,51
5/10/2020,29,7,21,2,0.3,21,57
6/10/2020,52,27,53,5,0.5,37,61
7/10/2020,84,62,88,5,0.9,57,65
8/10/2020,114,86,94,4,0.9,68,44
9/10/2020,144,110,108,4,1,69,88
10/10/2020,185,139,104,3,1,46,136
11/10/2020,62,44,44,2,0.4,24,64
12/10/2020,34,11,31,2,0.3,27,51
13/10/2020,36,13,36,2,0.3,27,69
14/10/2020,36,10,36,4,0.5,27,40
15/10/2020,68,49,73,3,0.7,45,38
16/10/2020,35,13,25,2,0.3,28,65
17/10/2020,55,16,47,3,0.4,44,56
18/10/2020,64,28,65,4,0.7,51,60
19/10/2020,72,50,80,3,0.8,57,60
20/10/2020,155,118,121,3,1,77,36
21/10/2020,98,38,146,3,0.4,24,61
22/10/2020,53,11,55,2,0.3,21,63
23/10/2020,38,10,32,2,0.3,30,64
24/10/2020,59,32,67,4,0.6,47,59
25/10/2020,109,82,124,6,1,72,64
26/10/2020,107,80,115,4,0.8,56,70
27/10/2020,47,9,47,2,0.3,26,58
28/10/2020,55,17,50,3,0.4,44,46
29/10/2020,73,35,75,3,0.6,58,36
30/10/2020,72,52,80,3,0.7,55,58
31/10/2020,136,78,222,3,0.6,53,49
1/11/2020,58,14,65,2,0.3,21,58
2/11/2020,45,6,45,2,0.2,16,58
3/11/2020,37,12,37,2,0.3,29,46
4/11/2020,77,39,81,4,0.7,61,18
5/11/2020,110,83,121,6,1.1,84,24
6/11/2020,92,68,133,3,0.9,66,62
7/11/2020,91,26,132,2,0.3,24,64
8/11/2020,44,13,44,2,0.3,31,47
9/11/2020,60,21,55,2,0.5,48,36
10/11/2020,74,38,75,4,0.8,59,29
11/11/2020,140,107,147,7,1.3,96,16
12/11/2020,110,83,107,5,0.9,66,56
13/11/2020,55,21,52,5,0.6,44,42
14/11/2020,79,48,84,3,0.9,63,9
15/11/2020,110,83,96,3,1.1,64,26
16/11/2020,134,102,113,6,1.5,68,8
17/11/2020,138,105,95,3,1.7,49,11
18/11/2020,62,44,23,2,1,30,44
19/11/2020,26,8,13,2,0.3,14,51
20/11/2020,29,10,21,2,0.3,23,57
21/11/2020,52,26,32,2,0.5,41,32
22/11/2020,27,7,14,2,0.3,12,53
23/11/2020,34,14,29,3,0.4,27,43
24/11/2020,59,30,48,4,0.6,47,28
25/11/2020,45,25,41,5,0.6,36,56
26/11/2020,57,19,41,4,0.7,45,32
27/11/2020,30,15,28,3,0.4,21,60
28/11/2020,30,12,25,2,0.3,24,52
29/11/2020,38,16,33,4,0.4,30,51
30/11/2020,38,17,34,4,0.4,30,47
1/12/2020,53,25,42,3,0.5,42,33
2/12/2020,35,17,35,3,0.4,28,56
3/12/2020,31,8,20,3,0.3,21,61
4/12/2020,29,8,19,3,0.3,21,58
5/12/2020,55,24,39,6,0.5,44,43
6/12/2020,52,34,54,6,0.6,36,57
7/12/2020,27,8,25,3,0.3,15,54
8/12/2020,54,22,42,5,0.5,43,34
9/12/2020,79,46,82,6,0.9,63,12
10/12/2020,87,56,93,5,1.1,69,23
11/12/2020,65,32,56,4,0.6,52,37
12/12/2020,97,72,98,4,1.3,59,22
13/12/2020,28,8,26,3,0.3,8,56
14/12/2020,27,11,27,3,0.4,20,46
15/12/2020,44,16,39,4,0.4,35,28
16/12/2020,44,21,44,5,0.5,35,42
17/12/2020,69,35,71,5,0.8,55,17
18/12/2020,29,9,27,3,0.3,19,58
19/12/2020,64,26,54,6,0.6,51,24
20/12/2020,54,24,42,5,0.6,43,51
21/12/2020,70,37,56,6,0.7,56,32
22/12/2020,80,53,77,6,0.9,64,20
23/12/2020,89,37,127,5,0.6,28,66
24/12/2020,55,20,60,3,0.4,26,57
25/12/2020,70,34,84,6,0.8,56,27
26/12/2020,74,48,98,10,1.3,57,14
27/12/2020,88,65,102,7,1.4,59,22
28/12/2020,77,56,90,7,0.9,37,33
29/12/2020,52,8,53,3,0.3,6,54
30/12/2020,31,6,31,2,0.3,8,56
31/12/2020,36,12,36,3,0.4,28,48
1/1/2021,63,29,64,6,0.7,50,23
2/1/2021,64,46,72,5,1.1,42,30
3/1/2021,42,15,33,4,0.5,33,42
4/1/2021,37,14,37,3,0.4,23,63
5/1/2021,31,13,31,3,0.4,21,54
6/1/2021,63,10,75,3,0.3,6,59
7/1/2021,30,8,27,3,0.3,9,59
8/1/2021,32,8,29,3,0.3,12,63
9/1/2021,38,10,38,3,0.3,15,61
10/1/2021,33,9,24,3,0.3,15,65
11/1/2021,57,20,64,4,0.4,21,63
12/1/2021,100,45,149,5,0.8,48,30
13/1/2021,144,58,237,3,0.5,30,70
14/1/2021,80,53,110,5,1,35,37
15/1/2021,96,40,142,3,0.5,16,70
16/1/2021,34,9,31,3,0.3,11,67
17/1/2021,53,17,56,3,0.4,23,52
18/1/2021,61,19,71,4,0.4,26,56
19/1/2021,46,26,46,3,0.6,24,44
20/1/2021,73,53,66,4,0.8,37,40
21/1/2021,104,78,95,5,1.2,52,34
22/1/2021,113,85,109,8,1.4,54,38
23/1/2021,115,87,93,4,1.3,51,41
24/1/2021,139,106,105,4,1.3,53,39
25/1/2021,176,133,105,3,1.5,59,17
26/1/2021,105,79,77,3,1,40,61
27/1/2021,55,26,59,5,0.7,32,55
28/1/2021,49,6,49,2,0.3,8,71
29/1/2021,53,21,55,4,0.6,35,42
30/1/2021,68,41,86,5,0.9,47,32
31/1/2021,89,66,83,4,1.1,34,40
1/2/2021,50,17,50,2,0.4,11,67
2/2/2021,37,14,37,3,0.4,19,58
3/2/2021,49,17,49,3,0.5,23,72
4/2/2021,57,35,63,5,0.6,35,56
5/2/2021,62,41,74,4,0.8,45,64
6/2/2021,84,35,117,4,0.5,25,80
7/2/2021,51,22,51,4,0.4,13,73
8/2/2021,45,31,44,3,0.6,29,67
9/2/2021,87,64,73,6,0.9,40,73
10/2/2021,100,75,83,6,1,38,92
11/2/2021,215,165,154,9,1.7,42,93
12/2/2021,249,199,204,9,1.6,31,111
13/2/2021,257,207,193,5,2.3,39,41
14/2/2021,132,100,86,2,1.4,20,52
15/2/2021,37,9,30,2,0.3,8,73
16/2/2021,39,5,30,2,0.2,4,77
17/2/2021,36,9,16,2,0.3,8,71
18/2/2021,38,26,35,4,0.5,26,62
19/2/2021,60,43,66,4,0.8,42,65
20/2/2021,72,46,93,5,0.8,49,60
21/2/2021,118,54,186,4,0.6,32,75
22/2/2021,59,28,67,3,0.4,14,82
23/2/2021,49,28,49,3,0.5,20,57
24/2/2021,62,44,52,3,0.7,27,54
25/2/2021,107,80,77,4,1,35,79
26/2/2021,173,131,109,4,1.3,39,104
27/2/2021,159,121,99,6,1.1,40,105
28/2/2021,125,95,70,3,0.9,37,59
1/3/2021,34,22,17,2,0.4,14,67
2/3/2021,83,61,54,2,0.7,23,39
3/3/2021,149,114,101,2,1.1,39,34
4/3/2021,201,151,130,2,1.4,50,38
5/3/2021,144,110,101,2,1.1,35,48
6/3/2021,51,22,52,4,0.6,27,53
7/3/2021,78,57,73,2,0.7,39,54
8/3/2021,118,89,84,4,0.8,49,60
9/3/2021,192,144,112,4,1,51,90
10/3/2021,241,191,136,4,1.3,57,86
11/3/2021,160,122,81,3,0.9,38,95
12/3/2021,137,104,69,2,0.9,37,49
13/3/2021,135,103,61,2,1,30,89
14/3/2021,172,130,96,2,1,47,39
15/3/2021,500,207,1630,2,0.4,18,77
16/3/2021,114,37,177,3,0.3,21,73
17/3/2021,181,63,312,3,0.6,48,38
18/3/2021,85,57,120,3,0.7,28,69
19/3/2021,97,72,88,3,0.8,34,54
20/3/2021,69,29,88,2,0.4,16,78
21/3/2021,41,7,33,2,0.2,12,81
22/3/2021,131,28,212,3,0.3,27,76
23/3/2021,86,38,121,4,0.5,43,82
24/3/2021,106,40,161,3,0.4,30,90
25/3/2021,85,59,119,5,0.5,42,120
26/3/2021,180,136,157,4,1,73,42
27/3/2021,178,134,112,2,1,39,99
28/3/2021,500,128,795,3,0.4,17,91
